time;gFx;gFy;gFz;TgF
0.004000;0.0000;-0.0274;0.9929;0.993
0.005000;0.0000;-0.0264;0.9919;0.992
0.005000;0.0000;-0.0274;0.9929;0.993
0.027000;0.0000;-0.0274;0.9929;0.993
0.028000;0.0000;-0.0274;0.9919;0.992
0.039000;0.0000;-0.0274;0.9919;0.992
0.047000;0.0000;-0.0264;0.9919;0.992
0.053000;0.0000;-0.0264;0.9929;0.993
0.063000;0.0000;-0.0264;0.9929;0.993
0.073000;0.0000;-0.0264;0.9929;0.993
0.083000;0.0000;-0.0264;0.9929;0.993
0.095000;0.0000;-0.0264;0.9919;0.992
0.103000;0.0000;-0.0274;0.9929;0.993
0.114000;0.0000;-0.0264;0.9919;0.992
0.123000;0.0000;-0.0264;0.9909;0.991
0.146000;0.0000;-0.0254;0.9919;0.992
0.148000;0.0000;-0.0264;0.9919;0.992
0.164000;0.0000;-0.0264;0.9919;0.992
0.166000;0.0000;-0.0274;0.9909;0.991
0.181000;0.0000;-0.0283;0.9909;0.991
0.197000;0.0000;-0.0264;0.9929;0.993
0.200000;0.0000;-0.0274;0.9929;0.993
0.214000;0.0000;-0.0264;0.9929;0.993
0.216000;0.0000;-0.0274;0.9919;0.992
0.247000;0.0000;-0.0274;0.9919;0.992
0.250000;0.0000;-0.0283;0.9919;0.992
0.251000;0.0000;-0.0274;0.9938;0.994
0.269000;0.0000;-0.0264;0.9929;0.993
0.272000;0.0000;-0.0244;0.9929;0.993
0.280000;0.0000;-0.0274;0.9929;0.993
0.296000;0.0000;-0.0264;0.9929;0.993
0.297000;0.0000;-0.0264;0.9919;0.992
0.312000;0.0000;-0.0264;0.9929;0.993
0.314000;0.0000;-0.0264;0.9919;0.992
0.323000;0.0000;-0.0264;0.9919;0.992
0.341000;0.0000;-0.0254;0.9919;0.992
0.346000;0.0000;-0.0264;0.9919;0.992
0.354000;0.0000;-0.0264;0.9919;0.992
0.364000;0.0000;-0.0254;0.9929;0.993
0.373000;0.0000;-0.0254;0.9938;0.994
0.384000;0.0000;-0.0264;0.9919;0.992
0.394000;0.0000;-0.0264;0.9919;0.992
0.403000;0.0000;-0.0264;0.9929;0.993
0.413000;0.0000;-0.0264;0.9919;0.992
0.423000;0.0010;-0.0264;0.9919;0.992
0.436000;0.0000;-0.0264;0.9919;0.992
0.444000;0.0000;-0.0264;0.9909;0.991
0.453000;0.0000;-0.0264;0.9909;0.991
0.463000;0.0000;-0.0264;0.9919;0.992
0.473000;0.0000;-0.0274;0.9919;0.992
0.484000;0.0000;-0.0264;0.9909;0.991
0.494000;0.0000;-0.0264;0.9909;0.991
0.504000;0.0000;-0.0264;0.9929;0.993
0.513000;0.0000;-0.0274;0.9919;0.992
0.524000;0.0000;-0.0274;0.9909;0.991
0.541000;0.0000;-0.0274;0.9929;0.993
0.544000;0.0000;-0.0264;0.9919;0.992
0.554000;0.0000;-0.0264;0.9919;0.992
0.565000;0.0000;-0.0264;0.9919;0.992
0.574000;0.0000;-0.0274;0.9929;0.993
0.584000;0.0000;-0.0274;0.9919;0.992
0.596000;0.0000;-0.0264;0.9929;0.993
0.604000;0.0000;-0.0264;0.9919;0.992
0.614000;0.0000;-0.0264;0.9929;0.993
0.624000;0.0000;-0.0274;0.9919;0.992
0.636000;0.0000;-0.0274;0.9919;0.992
0.649000;0.0000;-0.0264;0.9919;0.992
0.654000;0.0000;-0.0254;0.9919;0.992
0.664000;0.0000;-0.0254;0.9919;0.992
0.674000;0.0000;-0.0254;0.9919;0.992
0.684000;0.0000;-0.0264;0.9919;0.992
0.696000;0.0000;-0.0254;0.9919;0.992
0.704000;0.0000;-0.0264;0.9919;0.992
0.714000;0.0000;-0.0254;0.9909;0.991
0.724000;0.0000;-0.0264;0.9919;0.992
0.741000;0.0000;-0.0264;0.9929;0.993
0.746000;0.0000;-0.0264;0.9919;0.992
0.761000;0.0000;-0.0264;0.9919;0.992
0.765000;0.0000;-0.0264;0.9929;0.993
0.774000;0.0000;-0.0264;0.9938;0.994
0.784000;0.0000;-0.0264;0.9938;0.994
0.797000;0.0000;-0.0254;0.9919;0.992
0.804000;0.0000;-0.0254;0.9919;0.992
0.814000;0.0000;-0.0254;0.9919;0.992
0.824000;0.0000;-0.0254;0.9909;0.991
0.844000;0.0000;-0.0254;0.9929;0.993
0.846000;0.0000;-0.0254;0.9929;0.993
0.854000;0.0000;-0.0264;0.9919;0.992
0.867000;0.0000;-0.0264;0.9919;0.992
0.874000;0.0000;-0.0264;0.9919;0.992
0.884000;0.0000;-0.0264;0.9929;0.993
0.897000;0.0000;-0.0264;0.9929;0.993
0.904000;0.0000;-0.0274;0.9929;0.993
0.914000;0.0000;-0.0274;0.9929;0.993
0.924000;0.0000;-0.0264;0.9929;0.993
0.936000;0.0000;-0.0264;0.9929;0.993
0.949000;0.0000;-0.0254;0.9929;0.993
0.953000;0.0000;-0.0264;0.9929;0.993
0.964000;0.0000;-0.0254;0.9929;0.993
0.974000;0.0000;-0.0264;0.9929;0.993
0.984000;0.0000;-0.0274;0.9938;0.994
0.997000;0.0000;-0.0274;0.9919;0.992
1.004000;0.0000;-0.0264;0.9929;0.993
1.014000;0.0000;-0.0264;0.9929;0.993
1.024000;0.0000;-0.0264;0.9909;0.991
1.042000;0.0000;-0.0254;0.9929;0.993
1.048000;0.0000;-0.0274;0.9929;0.993
1.054000;0.0000;-0.0254;0.9929;0.993
1.064000;0.0000;-0.0264;0.9909;0.991
1.074000;0.0000;-0.0264;0.9919;0.992
1.084000;0.0000;-0.0274;0.9919;0.992
1.097000;0.0000;-0.0274;0.9919;0.992
1.104000;0.0000;-0.0264;0.9919;0.992
1.114000;0.0000;-0.0274;0.9919;0.992
1.124000;0.0000;-0.0274;0.9919;0.992
1.142000;0.0000;-0.0254;0.9909;0.991
1.146000;0.0000;-0.0274;0.9909;0.991
1.154000;0.0000;-0.0264;0.9919;0.992
1.164000;0.0000;-0.0264;0.9919;0.992
1.174000;0.0000;-0.0264;0.9919;0.992
1.184000;0.0000;-0.0264;0.9919;0.992
1.198000;0.0000;-0.0254;0.9919;0.992
1.204000;0.0000;-0.0254;0.9919;0.992
1.215000;0.0010;-0.0254;0.9919;0.992
1.224000;0.0000;-0.0274;0.9919;0.992
1.243000;0.0000;-0.0254;0.9929;0.993
1.246000;0.0000;-0.0264;0.9919;0.992
1.254000;0.0000;-0.0274;0.9919;0.992
1.266000;0.0000;-0.0274;0.9909;0.991
1.274000;0.0000;-0.0264;0.9909;0.991
1.284000;0.0000;-0.0264;0.9909;0.991
1.298000;0.0000;-0.0264;0.9909;0.991
1.304000;0.0000;-0.0264;0.9909;0.991
1.315000;0.0000;-0.0264;0.9929;0.993
1.324000;0.0000;-0.0264;0.9909;0.991
1.343000;0.0000;-0.0264;0.9938;0.994
1.348000;0.0000;-0.0244;0.9929;0.993
1.354000;0.0000;-0.0274;0.9919;0.992
1.364000;0.0000;-0.0274;0.9929;0.993
1.374000;0.0000;-0.0264;0.9919;0.992
1.384000;0.0000;-0.0274;0.9919;0.992
1.398000;0.0000;-0.0264;0.9919;0.992
1.404000;0.0000;-0.0254;0.9919;0.992
1.415000;0.0000;-0.0254;0.9909;0.991
1.424000;0.0000;-0.0274;0.9919;0.992
1.443000;0.0000;-0.0244;0.9929;0.993
1.446000;0.0000;-0.0264;0.9919;0.992
1.454000;0.0000;-0.0274;0.9929;0.993
1.465000;0.0000;-0.0264;0.9919;0.992
1.474000;0.0000;-0.0264;0.9919;0.992
1.484000;0.0000;-0.0274;0.9929;0.993
1.498000;0.0000;-0.0274;0.9919;0.992
1.504000;0.0000;-0.0254;0.9919;0.992
1.515000;0.0000;-0.0264;0.9919;0.992
1.524000;0.0000;-0.0264;0.9919;0.992
1.542000;0.0000;-0.0264;0.9919;0.992
1.546000;0.0000;-0.0264;0.9919;0.992
1.554000;0.0000;-0.0264;0.9929;0.993
1.565000;0.0000;-0.0274;0.9919;0.992
1.574000;0.0000;-0.0264;0.9919;0.992
1.584000;0.0000;-0.0264;0.9919;0.992
1.598000;0.0000;-0.0254;0.9929;0.993
1.604000;0.0000;-0.0254;0.9919;0.992
1.615000;0.0000;-0.0264;0.9929;0.993
1.624000;0.0000;-0.0264;0.9919;0.992
1.642000;0.0000;-0.0254;0.9919;0.992
1.648000;0.0000;-0.0264;0.9919;0.992
1.654000;0.0000;-0.0254;0.9919;0.992
1.664000;0.0000;-0.0264;0.9929;0.993
1.674000;0.0000;-0.0264;0.9919;0.992
1.684000;0.0000;-0.0264;0.9919;0.992
1.696000;0.0000;-0.0264;0.9919;0.992
1.704000;0.0000;-0.0264;0.9919;0.992
1.714000;0.0000;-0.0264;0.9929;0.993
1.724000;0.0000;-0.0254;0.9919;0.992
1.741000;0.0000;-0.0264;0.9919;0.992
1.745000;0.0000;-0.0264;0.9919;0.992
1.754000;0.0000;-0.0264;0.9929;0.993
1.764000;0.0000;-0.0264;0.9919;0.992
1.774000;0.0000;-0.0274;0.9929;0.993
1.785000;0.0000;-0.0274;0.9929;0.993
1.798000;0.0000;-0.0254;0.9919;0.992
1.804000;0.0000;-0.0264;0.9929;0.993
1.815000;0.0000;-0.0264;0.9929;0.993
1.824000;0.0000;-0.0264;0.9919;0.992
1.843000;0.0000;-0.0264;0.9919;0.992
1.846000;0.0000;-0.0264;0.9919;0.992
1.867000;0.0000;-0.0264;0.9929;0.993
1.869000;0.0000;-0.0274;0.9919;0.992
1.881000;0.0000;-0.0274;0.9919;0.992
1.898000;0.0000;-0.0264;0.9919;0.992
1.901000;0.0000;-0.0254;0.9919;0.992
1.914000;0.0000;-0.0264;0.9919;0.992
1.917000;0.0000;-0.0264;0.9919;0.992
1.936000;0.0000;-0.0274;0.9938;0.994
1.939000;0.0000;-0.0274;0.9909;0.991
1.957000;0.0000;-0.0264;0.9919;0.992
1.959000;0.0000;-0.0264;0.9919;0.992
1.971000;0.0000;-0.0264;0.9919;0.992
1.975000;0.0000;-0.0264;0.9919;0.992
1.984000;0.0000;-0.0274;0.9929;0.993
1.998000;0.0000;-0.0264;0.9929;0.993
2.003000;0.0000;-0.0264;0.9919;0.992
2.017000;0.0000;-0.0274;0.9919;0.992
2.023000;0.0000;-0.0274;0.9929;0.993
2.034000;0.0000;-0.0264;0.9919;0.992
2.047000;0.0000;-0.0264;0.9919;0.992
2.053000;0.0000;-0.0264;0.9919;0.992
2.064000;0.0000;-0.0264;0.9909;0.991
2.073000;0.0000;-0.0264;0.9909;0.991
2.084000;0.0000;-0.0264;0.9929;0.993
2.096000;0.0000;-0.0264;0.9919;0.992
2.104000;0.0000;-0.0254;0.9919;0.992
2.113000;0.0000;-0.0254;0.9919;0.992
2.123000;0.0000;-0.0254;0.9919;0.992
2.135000;0.0000;-0.0264;0.9919;0.992
2.147000;0.0000;-0.0283;0.9919;0.992
2.153000;0.0000;-0.0264;0.9929;0.993
2.164000;0.0000;-0.0274;0.9929;0.993
2.174000;0.0000;-0.0264;0.9929;0.993
2.184000;0.0000;-0.0264;0.9919;0.992
2.196000;0.0000;-0.0274;0.9919;0.992
2.204000;0.0000;-0.0264;0.9919;0.992
2.215000;0.0000;-0.0264;0.9929;0.993
2.224000;0.0000;-0.0254;0.9919;0.992
2.244000;0.0000;-0.0274;0.9919;0.992
2.250000;0.0000;-0.0254;0.9919;0.992
2.254000;0.0000;-0.0254;0.9919;0.992
2.266000;0.0000;-0.0274;0.9919;0.992
2.276000;0.0000;-0.0264;0.9929;0.993
2.285000;0.0000;-0.0264;0.9919;0.992
2.308000;0.0000;-0.0254;0.9929;0.993
2.309000;0.0000;-0.0274;0.9929;0.993
